city,postcode,living_space,rooms,rent,description,year_built,floor,rent_per_sqm,scam_label,city_tier
Berlin,10117,114.4,3.8,2742.0,Bright apartment with great views of the city.,2008,1,23.97,0,2
Düsseldorf,40219,122.1,4.5,2041.0,Close to university and city center.,1905,3,16.71,0,2
Dresden,01097,98.8,3.2,699.0,Green surroundings with garden access.,1948,8,7.07,0,3
Berlin,10963,146.8,4.7,2204.0,Modern renovated apartment near public transport.,2007,2,15.01,0,2
Berlin,10179,64.7,1.7,946.0,Sonnige Südausrichtung mit großer Terrasse.,1959,7,14.62,0,2
Essen,45133,85.6,2.5,518.0,"Quiet neighborhood, perfect for families.",1968,3,6.05,0,4
Nuremberg,90403,110.4,3.9,428.0,"Ich bin im Ausland, bitte Miete vorab überweisen für Schlüsselübergabe.",1937,8,3.87,1,3
Hamburg,20097,134.2,4.8,2105.0,Close to university and city center.,1956,7,15.69,0,2
Stuttgart,70173,92.7,3.3,2021.0,Frisch saniert mit neuer Küche und Bad.,1912,8,21.8,0,1
Duisburg,47051,42.5,1.3,378.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1981,2,8.89,0,4
Munich,80331,79.0,2.3,1257.0,"Quiet neighborhood, perfect for families.",1923,0,15.91,0,1
Duisburg,47059,29.8,1.3,150.0,Well-maintained building with elevator.,1962,0,5.03,0,4
Berlin,10117,53.6,1.7,857.0,Moderne Wohnung mit Fußbodenheizung.,1943,5,15.99,0,2
Nuremberg,90429,34.7,1.4,447.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",2008,4,12.88,0,3
Essen,45128,128.2,4.2,378.0,URGENT: Must rent immediately. Wire transfer required before keys.,2020,3,2.95,1,4
Dortmund,44145,82.2,3.2,612.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1940,3,7.45,0,4
Munich,80333,146.6,5.0,2111.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1988,0,14.4,0,1
Hamburg,20144,103.1,3.5,1454.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",2010,8,14.1,0,2
Berlin,10243,121.8,3.8,1444.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1973,4,11.86,0,2
Düsseldorf,40219,81.7,3.0,557.0,I won the lottery and leaving Germany. Quick decision needed.,1957,6,6.81,1,2
Cologne,50668,121.0,3.9,1385.0,Close to university and city center.,1948,6,11.45,0,2
Dresden,01069,62.1,2.2,767.0,Newly built apartment with underground parking.,1970,7,12.35,0,3
Nuremberg,90429,46.7,1.9,532.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1988,4,11.39,0,3
Berlin,10963,143.4,4.8,3335.0,Newly built apartment with underground parking.,1953,4,23.26,0,2
Cologne,50672,103.9,3.6,1141.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1933,3,10.98,0,2
Nuremberg,90409,108.4,3.6,1030.0,Newly built apartment with underground parking.,1907,7,9.5,0,3
Frankfurt,60311,119.4,4.1,2306.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1919,7,19.31,0,1
Munich,80331,64.8,2.1,1056.0,Sonnige Südausrichtung mit großer Terrasse.,1950,5,16.3,0,1
Berlin,10963,101.0,3.3,1654.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1994,1,16.38,0,2
Düsseldorf,40213,55.6,1.6,802.0,Altbauwohnung mit hohen Decken und Parkettboden.,1964,1,14.42,0,2
Leipzig,04107,96.9,3.1,986.0,Frisch saniert mit neuer Küche und Bad.,1945,6,10.18,0,3
Munich,81667,100.7,3.6,2022.0,Well-maintained building with elevator.,2002,0,20.08,0,1
Dresden,01067,89.0,3.0,975.0,Moderne Wohnung mit Fußbodenheizung.,2021,5,10.96,0,3
Frankfurt,60316,135.8,4.4,878.0,Too good to be true? It's real! Just send deposit first.,1914,2,6.46,1,1
Cologne,50672,143.8,4.4,1547.0,Modern renovated apartment near public transport.,1917,4,10.76,0,2
Hannover,30165,136.2,4.8,1374.0,Sonnige Südausrichtung mit großer Terrasse.,1932,6,10.09,0,3
Stuttgart,70186,64.4,1.7,397.0,"Cannot meet in person, will send keys by mail after payment.",1947,8,6.16,1,1
Dortmund,44135,42.9,1.3,355.0,Frisch saniert mit neuer Küche und Bad.,1980,3,8.28,0,4
Berlin,10243,149.4,4.9,942.0,"I am currently abroad, please send deposit via Western Union before viewing.",1971,7,6.31,1,2
Hannover,30161,127.8,4.7,1516.0,Newly built apartment with underground parking.,1928,6,11.86,0,3
Nuremberg,90419,127.7,4.2,2003.0,Well-maintained building with elevator.,2016,8,15.69,0,3
Munich,80331,103.9,3.5,1331.0,"Cannot meet in person, will send keys by mail after payment.",1948,7,12.81,1,1
Hannover,30163,120.5,4.2,1027.0,Green surroundings with garden access.,1999,6,8.52,0,3
Cologne,50676,131.0,4.1,1377.0,Altbauwohnung mit hohen Decken und Parkettboden.,1993,4,10.51,0,2
Leipzig,04179,51.2,2.0,503.0,Green surroundings with garden access.,1961,6,9.82,0,3
Duisburg,47059,147.9,5.3,1018.0,Frisch saniert mit neuer Küche und Bad.,1971,6,6.88,0,4
Stuttgart,70186,69.3,2.8,1588.0,Modern renovated apartment near public transport.,1910,1,22.91,0,1
Hannover,30165,144.8,4.5,674.0,"Ich bin im Ausland, bitte Miete vorab überweisen für Schlüsselübergabe.",1959,6,4.65,1,3
Cologne,50667,147.7,4.6,2630.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1964,4,17.81,0,2
Essen,45127,93.4,2.9,748.0,Moderne Wohnung mit Fußbodenheizung.,2023,3,8.01,0,4
Essen,45131,43.6,1.1,312.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,2007,0,7.16,0,4
Dresden,01097,81.2,2.6,1346.0,Sonnige Südausrichtung mit großer Terrasse.,1983,6,16.58,0,3
Düsseldorf,40210,101.3,3.3,2114.0,Modern renovated apartment near public transport.,1906,1,20.87,0,2
Essen,45133,70.7,2.0,235.0,"I am currently abroad, please send deposit via Western Union before viewing.",1987,0,3.32,1,4
Stuttgart,70180,95.5,3.4,2250.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1972,2,23.56,0,1
Munich,80335,127.7,4.6,918.0,My company is relocating me abroad. Send first month rent to reserve.,1952,4,7.19,1,1
Frankfurt,60318,146.1,4.8,2440.0,Moderne Wohnung mit Fußbodenheizung.,1960,7,16.7,0,1
Berlin,10119,105.9,3.8,1904.0,Frisch saniert mit neuer Küche und Bad.,1962,4,17.98,0,2
Munich,80539,57.6,2.3,1928.0,Frisch saniert mit neuer Küche und Bad.,2022,6,33.47,0,1
Hamburg,20146,118.3,4.1,1992.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1900,4,16.84,0,2
Leipzig,04105,113.6,3.5,1161.0,Frisch saniert mit neuer Küche und Bad.,2003,5,10.22,0,3
Stuttgart,70180,59.8,2.3,852.0,"Quiet neighborhood, perfect for families.",2005,2,14.25,0,1
Düsseldorf,40219,95.9,2.8,3075.0,Well-maintained building with elevator.,1998,4,32.07,0,2
Nuremberg,90403,112.5,4.2,309.0,"I am currently abroad, please send deposit via Western Union before viewing.",1934,2,2.74,1,3
Nuremberg,90419,63.4,1.6,270.0,I won the lottery and leaving Germany. Quick decision needed.,1910,3,4.26,1,3
Munich,80335,84.1,2.5,2235.0,Well-maintained building with elevator.,1991,7,26.58,0,1
Frankfurt,60313,120.3,3.9,1848.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1933,8,15.36,0,1
Dortmund,44139,141.8,4.5,1056.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1909,6,7.45,0,4
Duisburg,47053,142.8,5.2,826.0,Newly built apartment with underground parking.,1972,2,5.78,0,4
Duisburg,47057,90.6,3.1,821.0,"Quiet neighborhood, perfect for families.",1986,0,9.06,0,4
Frankfurt,60313,133.6,4.8,2886.0,"Quiet neighborhood, perfect for families.",1975,2,21.6,0,1
Nuremberg,90403,91.0,3.4,878.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1974,2,9.65,0,3
Munich,80539,142.5,4.3,2425.0,Sonnige Südausrichtung mit großer Terrasse.,1908,3,17.02,0,1
Hannover,30161,35.4,1.1,366.0,Frisch saniert mit neuer Küche und Bad.,2016,5,10.34,0,3
Berlin,10179,78.5,2.3,1505.0,Well-maintained building with elevator.,2011,6,19.17,0,2
Duisburg,47051,128.8,4.1,1004.0,Newly built apartment with underground parking.,1984,8,7.8,0,4
Duisburg,47055,127.7,4.4,1431.0,Frisch saniert mit neuer Küche und Bad.,1958,7,11.21,0,4
Duisburg,47059,56.4,1.9,285.0,Modern renovated apartment near public transport.,1909,7,5.05,0,4
Nuremberg,90409,142.9,4.3,1610.0,"Quiet neighborhood, perfect for families.",1908,1,11.27,0,3
Nuremberg,90419,90.1,3.4,1277.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1968,4,14.17,0,3
Leipzig,04109,96.5,3.7,1024.0,Close to university and city center.,1962,6,10.61,0,3
Dortmund,44143,40.0,1.3,359.0,Frisch saniert mit neuer Küche und Bad.,1918,3,8.96,0,4
Dortmund,44141,25.2,1.0,178.0,Newly built apartment with underground parking.,1959,1,7.06,0,4
Berlin,10115,34.0,1.2,602.0,Moderne Wohnung mit Fußbodenheizung.,1927,2,17.71,0,2
Frankfurt,60311,25.2,1.0,534.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1935,3,21.19,0,1
Dortmund,44135,46.8,1.1,314.0,Well-maintained building with elevator.,1941,2,6.71,0,4
Dresden,01109,50.2,1.8,873.0,Well-maintained building with elevator.,2000,5,17.4,0,3
Berlin,10119,68.2,2.3,1486.0,Newly built apartment with underground parking.,2023,4,21.78,0,2
Munich,80539,37.0,1.0,1527.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1912,8,41.28,0,1
Frankfurt,60311,105.0,3.8,2029.0,Modern renovated apartment near public transport.,1988,7,19.32,0,1
Cologne,50672,81.2,3.0,941.0,Modern renovated apartment near public transport.,1965,2,11.59,0,2
Frankfurt,60318,124.7,4.0,1193.0,Sehr günstig wegen Umzug ins Ausland. Kaution vorab überweisen.,1957,8,9.56,1,1
Essen,45127,84.4,3.0,770.0,Newly built apartment with underground parking.,1945,4,9.12,0,4
Hamburg,20144,67.4,2.2,1065.0,Bright apartment with great views of the city.,1912,2,15.8,0,2
Hannover,30169,36.0,1.0,463.0,Frisch saniert mit neuer Küche und Bad.,1977,1,12.86,0,3
Munich,80331,67.0,2.7,1763.0,Moderne Wohnung mit Fußbodenheizung.,1966,1,26.31,0,1
Stuttgart,70182,92.1,3.5,2790.0,Altbauwohnung mit hohen Decken und Parkettboden.,2022,5,30.29,0,1
Munich,80469,103.2,3.1,4328.0,Close to university and city center.,1928,6,41.94,0,1
Hamburg,20148,106.2,3.9,2573.0,Green surroundings with garden access.,1945,6,24.23,0,2
Nuremberg,90429,132.7,4.8,1339.0,Sonnige Südausrichtung mit großer Terrasse.,2021,2,10.09,0,3
Munich,81669,57.8,2.0,1560.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1974,2,26.99,0,1
Nuremberg,90409,119.7,4.1,1055.0,Newly built apartment with underground parking.,1913,4,8.81,0,3
Cologne,50672,125.2,4.3,1732.0,Frisch saniert mit neuer Küche und Bad.,1961,2,13.83,0,2
Frankfurt,60318,139.1,5.0,3013.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1945,8,21.66,0,1
Frankfurt,60322,136.1,4.3,1811.0,Too good to be true? It's real! Just send deposit first.,1987,5,13.3,1,1
Berlin,10117,85.1,2.8,1210.0,Modern renovated apartment near public transport.,1908,6,14.22,0,2
Nuremberg,90409,141.2,4.9,1593.0,Altbauwohnung mit hohen Decken und Parkettboden.,2007,1,11.28,0,3
Essen,45131,119.3,4.4,632.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1927,0,5.3,0,4
Duisburg,47051,93.6,3.0,614.0,Bright apartment with great views of the city.,2012,6,6.56,0,4
Duisburg,47059,33.4,1.5,440.0,Green surroundings with garden access.,1994,3,13.16,0,4
Hamburg,20095,27.3,1.1,237.0,URGENT: Must rent immediately. Wire transfer required before keys.,1912,2,8.7,1,2
Stuttgart,70173,117.7,3.9,2908.0,Altbauwohnung mit hohen Decken und Parkettboden.,2004,6,24.71,0,1
Essen,45127,75.2,2.3,593.0,Frisch saniert mit neuer Küche und Bad.,1944,6,7.89,0,4
Hannover,30167,89.6,3.2,1066.0,Newly built apartment with underground parking.,1923,0,11.9,0,3
Dortmund,44137,58.5,2.0,292.0,Too good to be true? It's real! Just send deposit first.,1984,6,4.99,1,4
Frankfurt,60313,102.5,3.9,2131.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1961,2,20.79,0,1
Dresden,01109,71.6,2.5,822.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1996,2,11.48,0,3
Dresden,01099,88.0,3.2,731.0,Green surroundings with garden access.,1958,2,8.31,0,3
Essen,45127,136.9,4.8,1548.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1924,3,11.31,0,4
Munich,80335,70.1,2.8,2941.0,"Quiet neighborhood, perfect for families.",1948,1,41.96,0,1
Dortmund,44143,83.8,2.3,780.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1995,8,9.31,0,4
Hamburg,20099,94.4,2.7,1536.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1963,8,16.27,0,2
Düsseldorf,40213,36.8,1.4,620.0,Sonnige Südausrichtung mit großer Terrasse.,1975,1,16.85,0,2
Dresden,01069,124.3,4.1,1315.0,Green surroundings with garden access.,2010,2,10.58,0,3
Hamburg,20148,100.7,3.4,1376.0,Newly built apartment with underground parking.,1933,1,13.66,0,2
Dresden,01097,33.1,1.5,634.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1966,2,19.15,0,3
Leipzig,04177,145.0,4.7,915.0,Newly built apartment with underground parking.,2001,4,6.31,0,3
Leipzig,04107,148.2,5.3,490.0,I won the lottery and leaving Germany. Quick decision needed.,2004,0,3.31,1,3
Leipzig,04177,53.1,2.1,578.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1996,1,10.89,0,3
Essen,45130,67.9,2.4,908.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1944,7,13.37,0,4
Cologne,50674,107.6,3.9,1762.0,"Quiet neighborhood, perfect for families.",1991,5,16.38,0,2
Essen,45128,85.5,2.5,581.0,Close to university and city center.,1918,6,6.8,0,4
Duisburg,47058,91.1,2.9,698.0,Moderne Wohnung mit Fußbodenheizung.,1946,2,7.66,0,4
Cologne,50674,43.8,1.9,355.0,Keine Besichtigung möglich. Schlüssel werden nach Zahlung geschickt.,1908,5,8.1,1,2
Hannover,30161,108.8,3.5,2185.0,Altbauwohnung mit hohen Decken und Parkettboden.,1996,6,20.08,0,3
Essen,45130,131.9,4.6,1118.0,Bright apartment with great views of the city.,1985,4,8.48,0,4
Dortmund,44141,126.9,4.2,871.0,Altbauwohnung mit hohen Decken und Parkettboden.,1937,2,6.86,0,4
Essen,45130,88.6,2.8,517.0,Moderne Wohnung mit Fußbodenheizung.,1903,8,5.84,0,4
Leipzig,04179,64.6,2.2,593.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1942,2,9.18,0,3
Düsseldorf,40211,116.1,4.2,1608.0,"Quiet neighborhood, perfect for families.",1985,4,13.85,0,2
Stuttgart,70180,44.5,1.5,569.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1900,5,12.79,0,1
Frankfurt,60325,70.0,2.6,1371.0,Modern renovated apartment near public transport.,1929,5,19.59,0,1
Stuttgart,70188,133.6,4.4,3348.0,Frisch saniert mit neuer Küche und Bad.,1947,6,25.06,0,1
Dresden,01127,55.0,1.7,423.0,Gepflegtes Mehrfamilienhaus in guter Lage.,2006,8,7.69,0,3
Duisburg,47058,135.7,5.0,364.0,I won the lottery and leaving Germany. Quick decision needed.,1948,0,2.68,1,4
Leipzig,04177,28.1,1.4,204.0,Close to university and city center.,1925,1,7.26,0,3
Leipzig,04177,133.9,4.4,1645.0,Altbauwohnung mit hohen Decken und Parkettboden.,2023,8,12.29,0,3
Frankfurt,60325,59.7,1.6,1106.0,Sonnige Südausrichtung mit großer Terrasse.,1973,3,18.53,0,1
Dortmund,44137,98.5,3.2,1039.0,Modern renovated apartment near public transport.,2022,2,10.55,0,4
Essen,45131,124.7,3.7,1159.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,2002,5,9.29,0,4
Leipzig,04105,81.3,3.0,339.0,"Ich bin im Ausland, bitte Miete vorab überweisen für Schlüsselübergabe.",1926,1,4.17,1,3
Stuttgart,70173,89.6,3.4,1365.0,Altbauwohnung mit hohen Decken und Parkettboden.,2020,8,15.23,0,1
Berlin,10243,102.2,3.8,1239.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1924,4,12.12,0,2
Duisburg,47059,75.5,2.6,981.0,Modern renovated apartment near public transport.,1963,0,12.99,0,4
Hamburg,20097,61.1,1.9,1511.0,Bright apartment with great views of the city.,1981,2,24.73,0,2
Dortmund,44143,78.8,2.6,542.0,"Quiet neighborhood, perfect for families.",1936,3,6.88,0,4
Stuttgart,70173,110.9,3.9,1695.0,Modern renovated apartment near public transport.,1985,1,15.28,0,1
Düsseldorf,40211,85.3,3.1,1041.0,Well-maintained building with elevator.,2001,4,12.2,0,2
Hamburg,20148,119.7,4.1,1675.0,Well-maintained building with elevator.,2001,4,13.99,0,2
Leipzig,04105,58.0,1.6,403.0,Moderne Wohnung mit Fußbodenheizung.,2016,0,6.95,0,3
Düsseldorf,40210,123.4,4.3,826.0,URGENT: Must rent immediately. Wire transfer required before keys.,2002,2,6.69,1,2
